======================================================================
Exch   DB max date (5 sample)                       Leeway ha 8/7?      
======================================================================
LSE    ['2026-07-03', '2026-07-03', '2026-07-08', '2026-07-03', '2026-07-07']HTTP 404             (test:0E2B)
XETRA  ['2026-07-08', '2026-07-07', '2026-07-08', '2026-07-03', '2026-07-08']Leeway max=2026-07-08 (test:1AST)
PA     ['2026-07-07', '2026-07-08', '2026-07-03', '2026-07-03', '2026-07-03']Leeway max=2026-07-08 (test:74SW)
OM     ['2026-07-03', '2026-07-07', '2026-07-03', '2026-07-07', '2026-07-07']Leeway max=2026-07-08 (test:AAK)
SWX    ['2026-07-07', '2026-07-07', '2026-07-08', '2026-07-07', '2026-07-07']Leeway max=2026-07-08 (test:ABBN)
MIL    ['2026-07-03', '2026-07-03', '2026-07-03', '2026-07-03', '2026-07-02']Leeway max=2026-07-08 (test:A2A)
AS     ['2026-07-08', '2026-07-07', '2026-07-03', '2026-07-03', '2026-07-03']Leeway max=2026-07-08 (test:AALB)
MC     ['2026-07-08', '2026-07-03', '2026-07-03', '2026-07-07', '2026-07-07']Leeway max=2026-07-08 (test:A3M)
BR     ['2026-07-07', 'VUOTO', '2026-07-07', '2026-07-08', '2026-07-03']Leeway max=2026-07-08 (test:ABI)
HE     ['2026-07-03', '2026-07-07', '2026-07-07', '2026-07-07', '2026-07-07']Leeway max=2026-07-08 (test:ADMCM)
CPSE   ['2026-07-07', '2026-07-07', '2026-07-07', '2026-07-07', '2026-07-03']Leeway max=2026-07-08 (test:ALMB)
OB     ['2026-07-07', '2026-07-07', '2026-07-03', '2026-07-03', '2026-07-07']Leeway max=2026-07-08 (test:ABG)
GR     ['2026-07-03', '2026-07-03', '2026-07-07', '2026-07-03', '2026-07-02']Leeway max=2026-07-08 (test:ACAG)
VI     ['2026-07-03', '2026-07-07', '2026-07-03', '2026-07-03', '2026-07-03']Leeway max=2026-07-08 (test:ADKO)
IR     ['2026-07-03', '2026-07-07', '2026-07-07', '2026-07-03', '2026-07-03']Leeway max=2026-07-08 (test:A5G)
LS     ['2026-07-03', '2026-07-08', '2026-07-03', '2026-07-03', '2026-07-03']Leeway max=2026-07-08 (test:ALSMB)
