TSE: totale=998 invalidi(0/vuoto)=19 (2%)
SEHK: totale=500 invalidi(0/vuoto)=500 (100%)
ASX: totale=775 invalidi(0/vuoto)=0 (0%)
KRX: totale=1534 invalidi(0/vuoto)=0 (0%)
SGX: totale=375 invalidi(0/vuoto)=345 (92%)
US: NESSUNA RIGA
TSX: totale=548 invalidi(0/vuoto)=0 (0%)
MIL: totale=250 invalidi(0/vuoto)=0 (0%)
XETRA: totale=332 invalidi(0/vuoto)=0 (0%)
PA: totale=497 invalidi(0/vuoto)=0 (0%)
LSE: totale=480 invalidi(0/vuoto)=0 (0%)
SWX: totale=194 invalidi(0/vuoto)=0 (0%)
OM: totale=498 invalidi(0/vuoto)=0 (0%)
AS: totale=100 invalidi(0/vuoto)=0 (0%)
MC: totale=148 invalidi(0/vuoto)=0 (0%)
BR: totale=100 invalidi(0/vuoto)=0 (0%)
HE: totale=150 invalidi(0/vuoto)=0 (0%)
CPSE: totale=93 invalidi(0/vuoto)=0 (0%)
OB: totale=200 invalidi(0/vuoto)=0 (0%)
GR: NESSUNA RIGA
VI: totale=56 invalidi(0/vuoto)=0 (0%)
IR: totale=15 invalidi(0/vuoto)=0 (0%)
LS: totale=38 invalidi(0/vuoto)=0 (0%)
