SIM0.XETRA prezzi grezzi (piu' recenti in cima):
  {'date': '2026-07-10', 'adj_close': 60.0}
  {'date': '2026-07-09', 'adj_close': 60.0}
  {'date': '2026-07-08', 'adj_close': 60.0}
  {'date': '2026-07-07', 'adj_close': 63.5}
  {'date': '2026-07-06', 'adj_close': 62.0}
  {'date': '2026-07-03', 'adj_close': 59.5}
  {'date': '2026-07-02', 'adj_close': 61.5}
  {'date': '2026-07-01', 'adj_close': 58.5}
  {'date': '2026-06-30', 'adj_close': 58.0}
  {'date': '2026-06-29', 'adj_close': 61.0}
  {'date': '2026-06-26', 'adj_close': 56.0}
  {'date': '2026-06-25', 'adj_close': 60.0}
  {'date': '2026-06-24', 'adj_close': 56.0}
  {'date': '2026-06-23', 'adj_close': 56.0}
  {'date': '2026-06-22', 'adj_close': 55.5}
  {'date': '2026-06-19', 'adj_close': 55.5}
  {'date': '2026-06-18', 'adj_close': 60.0}
  {'date': '2026-06-17', 'adj_close': 60.0}
  {'date': '2026-06-16', 'adj_close': 60.5}
  {'date': '2026-06-15', 'adj_close': 60.0}
  {'date': '2026-06-12', 'adj_close': 58.25}
  {'date': '2026-06-11', 'adj_close': 53.8813}
  {'date': '2026-06-10', 'adj_close': 54.3667}
  {'date': '2026-06-09', 'adj_close': 58.25}
  {'date': '2026-06-08', 'adj_close': 53.8813}
  {'date': '2026-06-05', 'adj_close': 56.3083}
  {'date': '2026-06-04', 'adj_close': 57.7646}
  {'date': '2026-06-03', 'adj_close': 54.8521}
  {'date': '2026-06-02', 'adj_close': 53.8813}
  {'date': '2026-06-01', 'adj_close': 53.8813}
