ticker,exchange,fiscal_month
1672,SEHK,12
303,SEHK,3
1164,SEHK,12
2331,SEHK,12
1800,SEHK,12
288,SEHK,12
1882,SEHK,12
941,SEHK,12
220,SEHK,12
902,SEHK,12
2689,SEHK,6
1364,SEHK,12
2218,SEHK,12
867,SEHK,12
1757,SEHK,3
3877,SEHK,12
1579,SEHK,12
38,SEHK,12
551,SEHK,12
2729,SEHK,12
1681,SEHK,12
3881,SEHK,12
2025,SEHK,12
2171,SEHK,12
1523,SEHK,12
6636,SEHK,12
9911,SEHK,12
1801,SEHK,12
1810,SEHK,12
2315,SEHK,12
2588,SEHK,12
2638,SEHK,12
2727,SEHK,12
3618,SEHK,12
2498,SEHK,12
3898,SEHK,12
6066,SEHK,12
6198,SEHK,12
83,SEHK,6
857,SEHK,12
991,SEHK,12
10,SEHK,12
1128,SEHK,12
1415,SEHK,12
1530,SEHK,12
1551,SEHK,12
3323,SEHK,9
3800,SEHK,12
3888,SEHK,12
53,SEHK,6
631,SEHK,12
6979,SEHK,12
6993,SEHK,12
956,SEHK,12
1066,SEHK,12
1196,SEHK,12
1277,SEHK,12
2155,SEHK,12
2299,SEHK,12
2314,SEHK,12
2858,SEHK,12
467,SEHK,12
639,SEHK,12
1478,SEHK,12
2533,SEHK,12
2616,SEHK,12
354,SEHK,12
3633,SEHK,12
1138,SEHK,12
1199,SEHK,12
1375,SEHK,12
1626,SEHK,12
1866,SEHK,12
2245,SEHK,12
2259,SEHK,12
2228,SEHK,12
2380,SEHK,12
247,SEHK,6
316,SEHK,12
3933,SEHK,12
3931,SEHK,12
6185,SEHK,12
669,SEHK,12
6862,SEHK,12
6666,SEHK,12
7666,SEHK,12
9900,SEHK,3
9903,SEHK,12
2546,SEHK,12
1349,SEHK,12
6199,SEHK,12
2628,SEHK,12
293,SEHK,12
3858,SEHK,12
2276,SEHK,12
2009,SEHK,12
8137,SEHK,12
1053,SEHK,12
358,SEHK,12
1117,SEHK,12
6682,SEHK,12
1299,SEHK,12
1288,SEHK,12
14,SEHK,12
1686,SEHK,6
1818,SEHK,12
1797,SEHK,5
2097,SEHK,12
1907,SEHK,12
1910,SEHK,12
1913,SEHK,12
2460,SEHK,12
636,SEHK,12
600,SEHK,12
23,SEHK,12
1972,SEHK,12
517,SEHK,12
1088,SEHK,12
1093,SEHK,12
1099,SEHK,12
2343,SEHK,12
1209,SEHK,12
1308,SEHK,12
2367,SEHK,12
1339,SEHK,12
2507,SEHK,12
148,SEHK,12
19,SEHK,12
2,SEHK,12
2670,SEHK,12
3690,SEHK,12
3808,SEHK,12
486,SEHK,12
6088,SEHK,12
2706,SEHK,12
1133,SEHK,12
1606,SEHK,12
3317,SEHK,12
3339,SEHK,12
2696,SEHK,12
2866,SEHK,12
3939,SEHK,12
512,SEHK,12
6887,SEHK,12
6963,SEHK,12
108,SEHK,12
152,SEHK,12
1609,SEHK,12
565,SEHK,6
2432,SEHK,12
2869,SEHK,12
3355,SEHK,12
546,SEHK,12
6600,SEHK,12
6082,SEHK,12
811,SEHK,12
883,SEHK,12
100,SEHK,12
1357,SEHK,12
1999,SEHK,3
1024,SEHK,12
1811,SEHK,12
2339,SEHK,12
1208,SEHK,12
1330,SEHK,12
1368,SEHK,12
1578,SEHK,12
177,SEHK,12
1651,SEHK,3
1879,SEHK,12
1836,SEHK,12
1963,SEHK,12
2007,SEHK,12
2142,SEHK,12
2285,SEHK,12
2252,SEHK,12
2313,SEHK,12
2268,SEHK,12
2589,SEHK,12
916,SEHK,12
2698,SEHK,12
2883,SEHK,12
297,SEHK,12
363,SEHK,12
3868,SEHK,12
3918,SEHK,12
425,SEHK,12
522,SEHK,12
981,SEHK,12
6110,SEHK,2
586,SEHK,12
6656,SEHK,12
6808,SEHK,3
6699,SEHK,12
683,SEHK,12
697,SEHK,12
780,SEHK,12
754,SEHK,12
855,SEHK,3
9690,SEHK,12
999,SEHK,12
1171,SEHK,12
12,SEHK,12
135,SEHK,12
1398,SEHK,12
1456,SEHK,12
1519,SEHK,12
16,SEHK,6
175,SEHK,12
1898,SEHK,12
1919,SEHK,12
20,SEHK,12
2018,SEHK,12
2269,SEHK,12
2319,SEHK,12
2328,SEHK,12
2333,SEHK,12
2338,SEHK,12
2382,SEHK,12
2388,SEHK,12
241,SEHK,3
2600,SEHK,12
27,SEHK,12
270,SEHK,12
3,SEHK,12
386,SEHK,12
388,SEHK,12
3908,SEHK,12
3969,SEHK,12
66,SEHK,12
6618,SEHK,12
6869,SEHK,12
688,SEHK,12
6881,SEHK,12
6990,SEHK,12
728,SEHK,12
939,SEHK,12
966,SEHK,12
992,SEHK,3
9973,SEHK,12
9995,SEHK,12
1033,SEHK,12
1359,SEHK,12
142,SEHK,12
151,SEHK,3
1585,SEHK,12
1783,SEHK,3
1788,SEHK,12
179,SEHK,3
189,SEHK,12
2096,SEHK,12
2225,SEHK,12
2356,SEHK,12
2357,SEHK,12
2386,SEHK,12
2400,SEHK,12
2526,SEHK,12
257,SEHK,12
2688,SEHK,12
2788,SEHK,12
2799,SEHK,12
2880,SEHK,12
2889,SEHK,12
290,SEHK,3
323,SEHK,12
3311,SEHK,12
3360,SEHK,12
3369,SEHK,12
3393,SEHK,12
3396,SEHK,3
384,SEHK,3
3866,SEHK,12
548,SEHK,12
576,SEHK,12
598,SEHK,12
666,SEHK,12
6810,SEHK,12
772,SEHK,12
960,SEHK,12
9677,SEHK,12
9889,SEHK,12
9969,SEHK,12
9985,SEHK,12
1114,SEHK,12
1528,SEHK,12
1833,SEHK,12
1952,SEHK,12
2145,SEHK,12
2506,SEHK,12
2580,SEHK,12
2595,SEHK,12
2630,SEHK,12
2632,SEHK,12
2637,SEHK,12
2652,SEHK,12
2666,SEHK,12
2669,SEHK,12
326,SEHK,12
336,SEHK,12
