ticker,exchange,fiscal_month
AADX,US,12
AIIO,US,12
ALTI,US,12
ALTO,US,12
AMCX,US,12
ARTV,US,12
AVR,US,12
BBCP,US,10
BLND,US,12
BMRC,US,12
BNTC,US,6
BOC,US,12
BSVN,US,12
BWFG,US,12
CAVG,US,12
CBAN,US,12
CBK,US,12
CDRO,US,12
CLMB,US,12
CLPT,US,12
CMDB,US,12
CNCK,US,3
CTEV,US,12
CTRN,US,1
CXII,US,12
CYH,US,12
DBCA,US,12
DCTH,US,12
DIN,US,12
DMAC,US,12
DMC,US,12
DPC,US,12
ECHO,US,12
ELMT,US,12
ENRD,US,12
EOLS,US,12
ERII,US,12
EROC,US,12
EVH,US,12
EVN,US,11
FAC,US,12
FCCN,US,12
FDXF,US,5
FINS,US,1
FRBA,US,12
FRBT,US,12
FRPH,US,12
FSTR,US,12
FTH,US,12
FVR,US,12
GBFH,US,12
GCBC,US,6
GLAD,US,9
GLAS,US,12
GRVY,US,12
HAPN,US,12
HCGI,US,4
HNST,US,12
HONA,US,12
IBEX,US,6
IEAG,US,12
INIO,US,12
ITIC,US,12
KARD,US,12
KBON,US,12
KEYY,US,12
KIDS,US,12
KRAQ,US,12
KREF,US,12
LFTO,US,12
LWAY,US,12
MAGN,US,9
MBVI,US,12
MEI,US,5
MESH,US,12
MFI,US,12
MNPR,US,12
MTW,US,12
MYGN,US,12
NGNE,US,12
NIKA,US,12
NRC,US,12
NVCT,US,12
OFIX,US,12
OPTU,US,12
PAYS,US,12
PBLS,US,12
PHOE,US,3
PKOH,US,12
PPLI,US,12
PRLD,US,12
QNT,US,12
QUAD,US,12
RBB,US,12
RCKT,US,12
REAX,US,12
RGNX,US,12
RLGT,US,6
RMNI,US,12
ROMA,US,3
RZLT,US,6
SGU,US,9
SLN,US,12
SMWB,US,12
SOPH,US,12
SPCX,US,12
SSMR,US,12
STRZ,US,12
TRLV,US,12
VITL,US,12
VMD,US,12
VREX,US,10
VSTM,US,12
VSXY,US,1
WHK,US,12
WNC,US,12
WTBA,US,12
YEXT,US,1
ZURA,US,12
