ticker,exchange,fiscal_month
2222,GCC,12
1120,GCC,12
1180,GCC,12
1211,GCC,12
7010,GCC,12
EMIRATESNBD,GCC,12
KFH,GCC,12
QNBK,GCC,12
2010,GCC,12
2082,GCC,12
DEWA,GCC,12
EMAAR,GCC,12
NBK,GCC,12
1010,GCC,12
4013,GCC,12
5110,GCC,12
1150,GCC,12
IQCD,GCC,12
1060,GCC,12
EIB,GCC,12
2020,GCC,12
EMAARDEV,GCC,12
DU,GCC,12
DIB,GCC,12
7203,GCC,12
MASQ,GCC,12
QIBK,GCC,12
1050,GCC,12
7020,GCC,12
2280,GCC,12
4280,GCC,12
SALIK,GCC,12
ORDS,GCC,12
1080,GCC,12
BOUBYAN,GCC,12
1140,GCC,12
ZAIN,GCC,12
4030,GCC,12
2380,GCC,12
CBD,GCC,12
TALABAT,GCC,12
AIRARABIA,GCC,12
4325,GCC,12
QGTS,GCC,12
7202,GCC,12
8210,GCC,12
ERES,GCC,12
2223,GCC,12
2382,GCC,12
8010,GCC,12
4190,GCC,12
IGRD,GCC,12
4300,GCC,12
MARK,GCC,12
DUBK,GCC,12
4250,GCC,12
GBK,GCC,12
QIIK,GCC,12
PARKIN,GCC,12
MABANEE,GCC,12
4100,GCC,1
4142,GCC,12
2290,GCC,12
TECOM,GCC,12
DUBAIRESI,GCC,12
CBQK,GCC,12
1030,GCC,12
1303,GCC,12
EMPOWER,GCC,12
QEWS,GCC,12
1111,GCC,12
DIC,GCC,12
WARBABANK,GCC,12
1020,GCC,12
MPHC,GCC,12
QFLS,GCC,12
4263,GCC,12
4002,GCC,12
DFM,GCC,12
4164,GCC,12
QNNS,GCC,12
8313,GCC,12
CBK,GCC,12
4200,GCC,12
VFQS,GCC,12
OOREDOO,GCC,12
4004,GCC,12
ABQK,GCC,12
4015,GCC,12
1212,GCC,12
2310,GCC,12
8230,GCC,12
2083,GCC,12
4090,GCC,12
BRES,GCC,12
QAMC,GCC,12
DHBK,GCC,12
7030,GCC,12
4264,GCC,12
2250,GCC,12
BURG,GCC,12
ABK,GCC,12
