ticker,exchange,fiscal_month
80M,AIM,12
AAU,AIM,12
AAZ,AIM,12
ABDP,AIM,8
ABDX,AIM,6
ACSO,AIM,12
ADVT,AIM,2
AET,AIM,12
AGY,AIM,6
ALL,AIM,6
ALU,AIM,6
AMCO,AIM,12
AMS,AIM,12
ANCR,AIM,12
ANG,AIM,1
ANIC,AIM,6
ANP,AIM,12
AOM,AIM,3
AOTI,AIM,12
APTA,AIM,6
ARBB,AIM,12
AREC,AIM,12
ARS,AIM,12
ART,AIM,12
ASY,AIM,12
ATC,AIM,12
ATM,AIM,2
ATOM,AIM,12
AURR,AIM,12
AVCT,AIM,12
AVG,AIM,5
AXS,AIM,3
BANK,AIM,12
BBSN,AIM,12
BGO,AIM,12
BIG,AIM,12
BILN,AIM,12
BKS,AIM,6
BOKU,AIM,12
BOOM,AIM,12
BOR,AIM,12
BPM,AIM,1
BRCK,AIM,3
BTG,AIM,4
BVXP,AIM,6
CAM,AIM,12
CAML,AIM,12
CASP,AIM,12
CAV,AIM,3
CBOX,AIM,3
CCP,AIM,6
CCT,AIM,8
CDGP,AIM,12
CER,AIM,9
CFX,AIM,4
CHAR,AIM,12
CHH,AIM,12
CHRT,AIM,4
CKT,AIM,1
CLBS,AIM,3
CLX,AIM,3
CML,AIM,3
CNC,AIM,12
CNS,AIM,12
COIL,AIM,12
COPC,AIM,9
CORA,AIM,12
CPH2,AIM,12
CRCL,AIM,6
CREO,AIM,6
CRPR,AIM,3
CRS,AIM,6
CRW,AIM,6
CTA,AIM,12
CTG,AIM,12
CYAN,AIM,3
DCI,AIM,12
DEBS,AIM,2
DEVO,AIM,12
DFCH,AIM,12
DOTD,AIM,6
DPP,AIM,12
DUKE,AIM,3
DXRX,AIM,12
EAAS,AIM,12
EAH,AIM,3
EDEN,AIM,12
EDX,AIM,12
EEE,AIM,12
EKF,AIM,12
ELCO,AIM,12
EMAN,AIM,1
EMH,AIM,12
EML,AIM,12
ENSI,AIM,5
ENW,AIM,12
ESO,AIM,1
EUA,AIM,12
EVPL,AIM,12
EYE,AIM,6
FARN,AIM,12
FDEV,AIM,5
FEN,AIM,12
FEVR,AIM,12
FIH,AIM,3
FLO,AIM,12
FNTL,AIM,12
FNX,AIM,6
FPO,AIM,3
FRAN,AIM,12
FRP,AIM,4
FTC,AIM,5
G4M,AIM,3
GANA,AIM,6
GATC,AIM,7
GDP,AIM,6
GELN,AIM,6
GETB,AIM,12
GFM,AIM,12
GHH,AIM,9
GMET,AIM,6
GMR,AIM,12
GTLY,AIM,4
HCM,AIM,12
HDD,AIM,9
HE1,AIM,6
HERC,AIM,9
HEX,AIM,9
HPOW,AIM,10
HSP,AIM,5
HUW,AIM,12
