ticker,exchange,website
2222,GCC,https://www.aramco.com
1120,GCC,https://www.alrajhibank.com.sa
1180,GCC,https://www.alahli.com
1211,GCC,https://www.maaden.com.sa
7010,GCC,https://www.stc.com.sa
EMIRATESNBD,GCC,https://www.emiratesnbd.com
KFH,GCC,https://www.kfh.com
QNBK,GCC,https://www.qnb.com
2010,GCC,https://www.sabic.com
2082,GCC,https://www.acwapower.com
DEWA,GCC,https://www.dewa.gov.ae
EMAAR,GCC,https://www.emaar.com
NBK,GCC,https://www.nbk.com
1010,GCC,https://www.riyadbank.com
4013,GCC,https://www.hmg.com
5110,GCC,https://www.se.com.sa
1150,GCC,https://www.alinma.com
IQCD,GCC,https://www.iq.com.qa
1060,GCC,https://www.sab.com
2020,GCC,https://www.sabic-agrinutrients.com
EMAARDEV,GCC,https://www.emaar.com
DU,GCC,https://www.du.ae
DIB,GCC,https://www.dib.ae
7203,GCC,https://www.elm.sa
MASQ,GCC,https://www.mashreqbank.com
QIBK,GCC,https://www.qib.com.qa
1050,GCC,https://www.alfransi.com.sa
7020,GCC,https://www.mobily.com.sa
2280,GCC,https://www.almarai.com
4280,GCC,https://www.kingdom.com.sa
SALIK,GCC,https://www.salik.ae
1080,GCC,https://www.anb.com.sa
BOUBYAN,GCC,https://boubyan.bankboubyan.com/en
1140,GCC,https://www.bankalbilad.com
ZAIN,GCC,https://www.zain.com
4030,GCC,https://www.bahri.sa
2380,GCC,https://www.petrorabigh.com
AIRARABIA,GCC,https://www.airarabia.com
4325,GCC,https://www.ummalqura.com.sa
QGTS,GCC,https://nakilat.com
7202,GCC,https://solutions.com.sa
8210,GCC,https://www.bupa.com.sa
ERES,GCC,https://www.ezdanholding.qa
2223,GCC,https://www.luberef.com
2382,GCC,https://adesgroup.com
8010,GCC,https://www.tawuniya.com.sa
4190,GCC,https://www.jarir.com
IGRD,GCC,https://estithmarholding.com
4300,GCC,https://www.daralarkan.com
MARK,GCC,https://www.alrayan.com
DUBK,GCC,https://www.dukhanbank.com
4250,GCC,https://www.jabalomar.com.sa
GBK,GCC,https://www.e-gulfbank.com
QIIK,GCC,https://www.qiib.com.qa
PARKIN,GCC,https://www.parkin.ae
MABANEE,GCC,https://www.mabanee.com
4100,GCC,https://www.mcdc.com.sa
4142,GCC,https://www.riyadh-cables.com
2290,GCC,https://www.yansab.com.sa
CBQK,GCC,https://www.cbq.qa
1030,GCC,https://www.saib.com.sa
1303,GCC,https://www.eic.com.sa
QEWS,GCC,https://www.qewc.com
1111,GCC,https://www.tadawulgroup.sa
DIC,GCC,https://www.dubaiinvestments.com
1020,GCC,https://www.bankaljazira.com
MPHC,GCC,https://www.mphc.com.qa
QFLS,GCC,https://www.woqod.com
4263,GCC,https://www.sal.sa
4002,GCC,https://www.mouwasat.com
DFM,GCC,https://www.dfm.ae
4164,GCC,https://www.nahdi.sa
QNNS,GCC,https://www.milaha.com
8313,GCC,www.rasan.co
4200,GCC,https://www.aldrees.com
VFQS,GCC,https://www.vodafone.qa
4004,GCC,https://www.dallahhealth.com
4015,GCC,https://www.jamjoompharma.com
1212,GCC,https://www.aig.sa
2310,GCC,https://www.sipchem.com
8230,GCC,https://www.alrajhitakaful.com
2083,GCC,https://www.marafiq.com.sa
4090,GCC,https://www.taiba.com.sa
BRES,GCC,https://www.barwa.com.qa
QAMC,GCC,https://www.qamco.com.qa
DHBK,GCC,https://qa.dohabank.com
7030,GCC,https://www.sa.zain.com
4264,GCC,https://www.flynas.com
2250,GCC,https://www.siig.com.sa
4220,GCC,https://www.kaec.net
2050,GCC,https://www.savola.com
4017,GCC,https://dsfhjeddah.fakeeh.care
2381,GCC,https://www.arabdrill.com
4321,GCC,https://centers.cenomi.com
2350,GCC,https://www.saudikayan.com
TABREED,GCC,https://www.tabreed.ae
4072,GCC,https://www.mbc.net
BOURSA,GCC,https://www.boursakuwait.com.kw
1321,GCC,https://www.eastpipes.com
2270,GCC,https://www.sadafco.com
2230,GCC,https://www.saudichemical.com
7200,GCC,https://www.mis.com.sa
NIND,GCC,https://www.nig.com.kw
QATI,GCC,https://www.qatarinsurance.com/corporate
1322,GCC,https://www.amak.com.sa
2060,GCC,https://www.tasnee.com
6004,GCC,https://www.catrion.com/ar
2330,GCC,https://advancedpetrochem.com
4322,GCC,https://retal.com.sa
4020,GCC,https://www.al-akaria.com
1810,GCC,https://www.seera.sa
4210,GCC,https://www.srmg.com
4291,GCC,https://edu.com.sa
4031,GCC,https://www.saudiags.com
4161,GCC,https://www.bindawoodholding.com
4084,GCC,https://web.derayah.com
4018,GCC,https://almoosahealthgroup.org
2080,GCC,https://www.gasco.com.sa
4003,GCC,https://www.extra.com
4005,GCC,https://www.care.med.sa
AHCS,GCC,https://www.aamal.com.qa
3020,GCC,https://www.yamamacement.com
3040,GCC,https://www.qcc.com.sa
4001,GCC,https://www.othaimmarkets.com
4071,GCC,https://al-arabia.com
SPINNEYS,GCC,https://www.spinneys.com
3030,GCC,https://www.saudicement.com.sa
6010,GCC,https://www.nadec.com
8200,GCC,https://www.saudire.net
4150,GCC,https://www.ardco.com.sa
4007,GCC,https://www.alhammadi.com
4310,GCC,https://www.madinahkec.com
4019,GCC,https://www.smc.com.sa
2320,GCC,https://www.al-babtain.com.sa
2081,GCC,https://www.awpt.com.sa
1830,GCC,https://www.leejam.com.sa
HUMANSOFT,GCC,https://www.human-soft.com
ZHCD,GCC,https://www.zad.qa
GISS,GCC,https://www.gis.com.qa
4162,GCC,https://www.almunajemfoods.com
